tbl_id,proc_id,tbl_nm,st,county,mem1,mem2,mem3,mem4,mem5,mem6,mem7,mem8
1106,22,CA-MEDI-CAL (Spend-down)                                                                                                                                                                                                                                       ,CA                                                ,                                                  ,620,954,974,1120,1279,1437,1570,1708
1107,668,Celgene Patient Support - 575% FPL                                                                                                                                                                                                                             ,                                                  ,                                                  ,5189,6981,8774,10566,12358,14150,15942,17734
1108,47,Chicago Share the Warmth       150% of Poverty                                                                                                                                                                                                                 ,IL                                                ,                                                  ,1354,1821,2289,2756,3224,3691,4159,4626
1109,577,Child SSI - 1 parent                                                                                                                                                                                                                                           ,CA                                                ,                                                  ,1507,1844,2181,2518,2855,3192,3529,3866
1110,580,Child SSI - 1 parent                                                                                                                                                                                                                                           ,CO                                                ,                                                  ,1388,1725,2062,2399,2736,3073,3410,3747
1111,583,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,CT                                                ,                                                  ,1561,1898,2235,2572,2909,3246,3583,3920
1112,574,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,FD                                                ,                                                  ,1388,1725,2062,2399,2736,3073,3410,3747
1113,586,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,IA                                                ,                                                  ,1388,1725,2062,2399,2736,3073,3410,3747
1114,589,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,ID                                                ,                                                  ,1420,1757,2094,2431,2768,3105,3442,3779
1115,598,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,ME                                                ,                                                  ,1398,1735,2072,2409,2746,3083,3420,3757
1116,601,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,MI                                                ,                                                  ,1388,1725,2062,2399,2736,3073,3410,3747
1117,604,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,MN                                                ,                                                  ,1469,1806,2143,2480,2817,3154,3491,3828
1118,607,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,NE                                                ,                                                  ,1388,1725,2062,2399,2736,3073,3410,3747
1119,610,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,NH                                                ,                                                  ,1388,1725,2062,2399,2736,3073,3410,3747
1120,613,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,NJ                                                ,                                                  ,1419,1756,2093,2430,2767,3104,3441,3778
1121,616,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,NV                                                ,                                                  ,1388,1725,2062,2399,2736,3073,3410,3747
1122,619,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,NY                                                ,                                                  ,1411,1748,2085,2422,2759,3096,3433,3770
1123,622,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,OK                                                ,                                                  ,1434,1771,2108,2445,2782,3119,3456,3793
1124,625,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,OR                                                ,                                                  ,1451,1752,2089,2426,2763,3100,3437,3774
1125,628,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,PA                                                ,                                                  ,1415,1752,2089,2426,2763,3100,3437,3774
1126,631,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,RI                                                ,                                                  ,1445,1782,2119,2456,2793,3130,3467,3804
1127,634,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,UT                                                ,                                                  ,1388,1725,2062,2399,2736,3073,3410,3747
1128,637,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,VT                                                ,                                                  ,1440,1777,2114,2451,2788,3125,3462,3799
1129,640,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,WA                                                ,                                                  ,1434,1771,2108,2445,2782,3119,3456,3793
1130,643,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,WI                                                ,                                                  ,1472,1809,2146,2483,2820,3157,3494,3831
1131,646,Child SSI - 1 Parent                                                                                                                                                                                                                                           ,WY                                                ,                                                  ,1413,1750,2087,2424,2761,3098,3435,3772
1132,592,Child SSI - 1 Parent (blind)                                                                                                                                                                                                                                   ,MA                                                ,                                                  ,1538,1875,2212,2549,2886,3223,3569,3897
1133,595,Child SSI - 1 Parent (disabled)                                                                                                                                                                                                                                ,MA                                                ,                                                  ,1502,1839,2176,2513,2850,3187,3524,3861
1134,578,Child SSI - 2 parent                                                                                                                                                                                                                                           ,CA                                                ,                                                  ,1844,2181,2518,2855,3192,3529,3866,4203
1135,581,Child SSI - 2 parent                                                                                                                                                                                                                                           ,CO                                                ,                                                  ,1725,2062,2399,2736,3073,3410,3747,4084
1136,584,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,CT                                                ,                                                  ,2003,2340,2677,3014,3351,3688,4025,4362
1137,575,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,FD                                                ,                                                  ,1725,2062,2399,2736,3073,3410,3747,4084
1138,587,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,IA                                                ,                                                  ,1725,2062,2399,2736,3073,3410,3747,4084
1139,590,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,ID                                                ,                                                  ,1725,2062,2399,2736,3073,3410,3747,4084
1140,599,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,ME                                                ,                                                  ,1740,2077,2414,2751,3088,3425,3762,4099
1141,602,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,MI                                                ,                                                  ,1725,2062,2399,2736,3073,3410,3747,4084
1142,605,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,MN                                                ,                                                  ,1836,2173,2510,2847,3184,3521,3858,4195
1143,608,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,NE                                                ,                                                  ,1725,2062,2399,2736,3073,3410,3747,4084
1144,611,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,NH                                                ,                                                  ,1725,2062,2399,2736,3073,3410,3747,4084
1145,614,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,NJ                                                ,                                                  ,1756,2093,2430,2767,3104,3441,3778,4115
1146,617,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,NV                                                ,                                                  ,1725,2062,2399,2736,3073,3410,3747,4084
1147,620,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,NY                                                ,                                                  ,1748,2085,2422,2759,3096,3433,3770,4102
1148,623,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,OK                                                ,                                                  ,1771,2108,2445,2782,3119,3456,3793,4130
1149,626,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,OR                                                ,                                                  ,1752,2089,2426,2763,3100,3437,3774,4111
1150,629,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,PA                                                ,                                                  ,1769,2106,2443,2780,3117,3454,3791,4128
1151,632,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,RI                                                ,                                                  ,1782,2119,2456,2793,3130,3467,3804,4141
1152,635,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,UT                                                ,                                                  ,1725,2062,2399,2736,3073,3410,3747,4084
1153,638,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,VT                                                ,                                                  ,1777,2114,2451,2788,3125,3462,3799,4136
1154,641,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,WA                                                ,                                                  ,1771,2108,2445,2782,3119,3456,3793,4130
1155,644,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,WI                                                ,                                                  ,1857,2194,2531,2868,3205,3542,3879,4216
1156,647,Child SSI - 2 Parent                                                                                                                                                                                                                                           ,WY                                                ,                                                  ,1750,2087,2424,2761,3098,3435,3772,4109
1157,593,Child SSI - 2 Parent (blind)                                                                                                                                                                                                                                   ,MA                                                ,                                                  ,1875,2212,2549,2886,3223,3569,3897,4234
1158,596,Child SSI - 2 Parent (disabled)                                                                                                                                                                                                                                ,MA                                                ,                                                  ,1839,2176,2513,2850,3187,3524,3861,4198
1159,579,Child SSI - Child Only                                                                                                                                                                                                                                         ,CA                                                ,                                                  ,833,1170,1507,1844,2181,2518,2855,3192
1160,582,Child SSI - Child Only                                                                                                                                                                                                                                         ,CO                                                ,                                                  ,714,1051,1388,1725,2062,2399,2736,3073
1161,585,Child SSI - Child Only                                                                                                                                                                                                                                         ,CT                                                ,                                                  ,887,1224,1561,1898,2235,2572,2909,3246
1162,576,Child SSI - Child Only                                                                                                                                                                                                                                         ,FD                                                ,                                                  ,714,1051,1388,1725,2062,2399,2736,3073
1163,588,Child SSI - Child Only                                                                                                                                                                                                                                         ,IA                                                ,                                                  ,714,1051,1388,1725,2062,2399,2736,3073
1164,591,Child SSI - Child Only                                                                                                                                                                                                                                         ,ID                                                ,                                                  ,746,1083,1420,1757,2094,2431,2768,3105
1165,600,Child SSI - Child Only                                                                                                                                                                                                                                         ,ME                                                ,                                                  ,724,1061,1398,1735,2072,2409,2746,3083
1166,603,Child SSI - Child Only                                                                                                                                                                                                                                         ,MI                                                ,                                                  ,714,1051,1388,1725,2062,2399,2736,3073
1167,606,Child SSI - Child Only                                                                                                                                                                                                                                         ,MN                                                ,                                                  ,795,1132,1469,1806,2143,2480,2817,3154
1168,609,Child SSI - Child Only                                                                                                                                                                                                                                         ,NE                                                ,                                                  ,714,1051,1388,1725,2062,2399,2736,3073
1169,612,Child SSI - Child Only                                                                                                                                                                                                                                         ,NH                                                ,                                                  ,714,1051,1388,1725,2062,2399,2736,3073
1170,615,Child SSI - Child Only                                                                                                                                                                                                                                         ,NJ                                                ,                                                  ,745,1082,1419,1756,2093,2430,2767,3104
1171,618,Child SSI - Child Only                                                                                                                                                                                                                                         ,NV                                                ,                                                  ,714,1051,1388,1725,2062,2399,2736,3073
1172,621,Child SSI - Child Only                                                                                                                                                                                                                                         ,NY                                                ,                                                  ,737,1074,1411,1748,2085,2422,2759,3096
1173,624,Child SSI - Child Only                                                                                                                                                                                                                                         ,OK                                                ,                                                  ,760,1097,1434,1771,2108,2445,2782,3119
1174,627,Child SSI - Child Only                                                                                                                                                                                                                                         ,OR                                                ,                                                  ,741,1078,1415,1752,2089,2426,2763,3100
1175,630,Child SSI - Child Only                                                                                                                                                                                                                                         ,PA                                                ,                                                  ,741,1078,1415,1752,2089,2426,2763,3100
1176,633,Child SSI - Child Only                                                                                                                                                                                                                                         ,RI                                                ,                                                  ,771,1108,1445,1782,2119,2456,2793,3130
1177,636,Child SSI - Child Only                                                                                                                                                                                                                                         ,UT                                                ,                                                  ,714,1051,1388,1725,2062,2399,2736,3073
1178,639,Child SSI - Child Only                                                                                                                                                                                                                                         ,VT                                                ,                                                  ,766,1103,1440,1777,2114,2451,2788,3125
1179,642,Child SSI - Child Only                                                                                                                                                                                                                                         ,WA                                                ,                                                  ,760,1097,1434,1771,2108,2445,2782,3119
1180,645,Child SSI - Child Only                                                                                                                                                                                                                                         ,WI                                                ,                                                  ,798,1135,1472,1809,2146,2483,2820,3157
